pair,arm,ans,status,wall_ms,arr_ms,fre_ms,builds,queries
13962_4238,A0,0.027728289171009411207,OK,683.50,188.6200,24.2120,0,0
13962_4238,D1,0.027728289171009411207,OK,449.50,14.3540,17.5720,486,19962
13962_4238,C4S,0.027728285871795932405,OK,214.71,12.2660,6.3084,474,8981
13962_4238,C4N,0.027728289171009411207,OK,416.08,7.8231,3.1000,486,2566
13962_4238,C4,0.027728282572582453602,OK,112.32,0.1594,0.0562,25,49
13388_15738,A0,0.010457066077090050593,OK,10.83,0.0000,0.0000,0,0
13388_15738,D1,0.010457066077090050593,OK,10.15,0.0000,0.0000,0,0
13388_15738,C4S,0.010457066077090050593,OK,10.23,0.0000,0.0000,0,0
13388_15738,C4N,0.010457066077090050593,OK,10.18,0.0000,0.0000,0,0
13388_15738,C4,0.010457066077090050593,OK,10.58,0.0000,0.0000,0,0
3110_11704,A0,0.080393627106728843268,OK,285.06,64.8410,20.4720,0,0
3110_11704,D1,0.080393627106728843268,OK,193.67,4.9970,11.0620,238,3267
3110_11704,C4S,0.080393622314894969128,OK,98.56,2.6121,6.0664,132,2340
3110_11704,C4N,0.080393631898562717408,OK,349.70,4.0058,4.1712,398,1009
3110_11704,C4,0.080393622314894969128,OK,61.37,0.1923,0.2501,29,58
12501_7252,A0,0.020605423314468115925,OK,45.87,8.1754,0.1002,0,0
12501_7252,D1,0.020605423314468115925,OK,34.87,0.6240,0.0390,24,406
12501_7252,C4S,0.020605418401751195157,OK,35.29,0.6052,0.0491,24,394
12501_7252,C4N,0.020605428227185033224,OK,37.48,0.6512,0.0745,27,35
12501_7252,C4,0.020605418401751195157,OK,35.29,0.4705,0.0228,25,51
10725_2829,A0,0.054040554031886969821,OK,238.28,59.4620,21.3860,0,0
10725_2829,D1,0.054040554031886969821,OK,163.76,3.6705,15.0210,144,4922
10725_2829,C4S,0.054040554031886969821,OK,46.42,0.5977,0.6968,26,696
10725_2829,C4N,0.054040554031886969821,OK,201.97,3.4584,5.3824,282,1025
10725_2829,C4,0.054040550810818557825,OK,44.94,0.2696,0.2404,26,83
12001_15004,A0,0.046717400287055475816,OK,67.12,12.6410,3.4615,0,0
12001_15004,D1,0.046717400287055475816,OK,50.01,0.7351,1.7910,36,719
12001_15004,C4S,0.046717394900271914937,OK,49.62,0.8532,1.9794,36,781
12001_15004,C4N,0.046717405673839043634,OK,47.73,0.3526,0.3565,36,113
12001_15004,C4,0.046717394900271914937,OK,46.84,0.3444,0.3238,36,112
15818_12700,A0,0.062990349420297075955,OK,92.04,23.8020,5.9530,0,0
15818_12700,D1,0.062990349420297075955,OK,152.81,4.4281,10.9050,177,5422
15818_12700,C4S,0.062990345665779226558,OK,153.87,4.4986,8.7445,194,5564
15818_12700,C4N,0.062990356929332774749,OK,335.34,7.4928,7.4148,508,2397
15818_12700,C4,0.062990345665779226558,OK,41.20,0.1860,0.2447,26,119
5987_9300,A0,0.11759929077871550396,OK,690.67,66.4750,97.2790,0,0
5987_9300,D1,0.11759929077871550396,OK,556.73,6.1652,45.5130,259,7320
5987_9300,C4S,0.11759929077871550396,OK,566.83,6.5510,47.3550,260,7803
5987_9300,C4N,0.11759929077871550396,OK,511.04,3.3003,6.3644,259,819
5987_9300,C4,0.11759928388840189262,OK,511.74,3.0715,5.9522,259,820
14551_3143,A0,0.062748100339338599984,OK,408.00,48.5660,69.3870,0,0
14551_3143,D1,0.062748100339338599984,OK,328.70,3.8039,40.0420,155,2841
14551_3143,C4S,0.062748100339338599984,OK,215.51,0.7656,3.0117,26,328
14551_3143,C4N,0.062748100339338599984,OK,379.47,3.9876,10.4030,288,707
14551_3143,C4,0.06274809285918168944,OK,206.72,0.5345,0.6712,26,62
11350_14909,A0,0.087868032152151068215,OK,42.22,10.3690,2.1635,0,0
11350_14909,D1,0.087868032152151068215,OK,29.57,0.7585,1.1478,36,614
11350_14909,C4S,0.08786809198746400873,OK,30.01,1.5425,1.1187,62,862
11350_14909,C4N,0.087868034753686402594,OK,27.84,0.3845,0.2293,36,95
11350_14909,C4,0.087868026949080385579,OK,27.99,0.3900,0.2251,36,93
10167_4547,A0,0.053802264336549616985,OK,331.85,32.4770,47.8690,0,0
10167_4547,D1,0.053802264336549616985,OK,257.84,1.7415,16.3720,81,1407
10167_4547,C4S,0.053802267541650225513,OK,268.10,2.0455,17.4750,84,1336
10167_4547,C4N,0.053802267541650225513,OK,250.18,1.8959,4.3584,110,192
10167_4547,C4,0.053802257926348392991,OK,252.32,1.4870,4.3326,105,174
5431_2218,A0,0.01847810701455327928,OK,766.32,167.0800,111.1400,0,0
5431_2218,D1,0.01847810701455327928,OK,544.68,11.6020,78.4810,416,17730
5431_2218,C4S,0.018478102874809387846,OK,518.67,11.0440,65.6360,403,17219
5431_2218,C4N,0.018478111154297170715,OK,464.68,7.2433,14.2460,452,2315
5431_2218,C4,0.018478102874809387846,OK,457.08,6.7590,12.1270,403,2079
15961_1595,A0,0.079660955770478963922,OK,49.93,10.1200,0.6756,0,0
15961_1595,D1,0.079660955770478963922,OK,38.80,0.6867,0.3844,26,478
15961_1595,C4S,0.079660955770478963922,OK,48.89,2.0068,1.6771,136,1370
15961_1595,C4N,0.079660955770478963922,OK,38.37,0.3638,0.2235,26,88
15961_1595,C4,0.07966094629640498026,OK,38.02,0.3673,0.2330,26,88
12057_14381,A0,0.047631380854940744141,OK,70.83,15.7270,4.5635,0,0
12057_14381,D1,0.047631380854940744141,OK,53.34,1.1439,2.4650,40,1080
12057_14381,C4S,0.047631375302095949054,OK,51.66,1.1714,2.0189,40,1074
12057_14381,C4N,0.047631386407785539228,OK,48.70,0.5821,0.3608,40,157
12057_14381,C4,0.047631375302095949054,OK,48.24,0.6004,0.6142,40,149
