n,p,arm,ans,status,wall_ms,arr_ms,fre_ms,builds,queries,regions,overflow,max_comp
6,0,D1,1.06468,OK,11.67,3.8488,0.4899,25,1804,0,0,0
6,0,C4S,1.06774,OK,11.30,3.7215,0.2678,25,1193,0,0,0
6,0,C4N,1.06468,OK,11.72,4.0517,0.4212,25,1804,0,25,36
6,0,C4,1.06774,OK,10.91,3.6710,0.2704,25,1193,0,25,36
6,1,D1,0.83305,OK,10.50,3.4214,0.5348,25,3077,0,0,0
6,1,C4S,0.83377,OK,10.17,2.9676,0.3982,25,2504,0,0,0
6,1,C4N,0.83305,OK,10.66,3.4244,0.6112,25,3077,0,25,36
6,1,C4,0.83377,OK,10.03,3.3649,0.4168,25,2504,0,25,36
8,0,D1,0.698395,OK,13.21,6.0792,0.7897,25,4754,0,0,0
8,0,C4S,0.707229,OK,13.57,6.1174,0.8722,25,6688,0,0,0
8,0,C4N,0.698395,OK,13.52,5.9833,0.7891,26,4749,16,25,64
8,0,C4,0.707229,OK,14.39,6.6146,0.8596,26,6676,16,25,64
8,1,D1,0.926547,OK,20.48,12.0360,1.2862,25,7625,0,0,0
8,1,C4S,0.929644,OK,20.00,12.3340,1.1097,25,7614,0,0,0
8,1,C4N,0.926547,OK,22.28,13.7020,1.3348,25,7625,0,25,64
8,1,C4,0.929644,OK,21.83,13.5180,1.2319,25,7614,0,25,64
10,0,D1,1.14684,OK,63.69,52.3290,4.1362,25,14332,0,0,0
10,0,C4S,1.14953,OK,62.08,53.0540,2.3590,25,7765,0,0,0
10,0,C4N,1.14684,OK,64.07,52.6420,4.2387,25,14332,0,25,100
10,0,C4,1.14953,OK,63.57,54.1710,2.3495,25,7765,0,25,100
10,1,D1,1.16519,OK,77.49,69.5510,0.6299,26,1901,0,0,0
10,1,C4S,1.16523,OK,80.95,70.4510,2.7093,26,15716,0,0,0
10,1,C4N,1.16519,OK,78.77,71.1240,0.6270,26,1901,0,26,100
10,1,C4,1.16523,OK,81.24,70.1320,2.8848,26,15716,0,26,100
12,0,D1,1.16267,OK,174.08,165.0200,2.0990,26,27302,0,0,0
12,0,C4S,1.16267,OK,173.64,164.6400,1.7160,26,23420,0,0,0
12,0,C4N,1.16267,OK,174.18,164.6700,2.0368,26,27302,0,26,144
12,0,C4,1.16267,OK,176.08,166.9300,1.8282,26,23420,0,26,144
12,1,D1,0.980621,OK,92.33,82.2570,3.0581,25,22802,0,0,0
12,1,C4S,0.982959,OK,89.78,79.2080,2.8015,25,24048,0,0,0
12,1,C4N,0.980621,OK,90.32,79.8180,3.1500,25,22802,0,25,144
12,1,C4,0.982959,OK,90.01,80.2380,2.8212,25,24048,0,25,144
14,0,D1,1.15183,OK,387.51,369.7600,6.9706,26,54027,0,0,0
14,0,C4S,1.15226,OK,387.97,368.0500,6.3808,26,44889,0,0,0
