pair,arm,ans,wall_ms,arr_ms,fre_ms,builds,m,K,queries,regions,mec_fail
13962_4238,c2,0.027728289171009411207,522.29,14.6300,19.3450,486,51242,20672,19962,0,0
13962_4238,c4legacy,0.027728289171009411207,511.51,14.8990,20.3410,486,51242,20672,19962,0,0
13962_4238,c4,0.027728282572582453602,124.44,0.1265,0.0651,25,65,65,49,65,0
13388_15738,c2,0.010457066077090050593,14.99,0.0000,0.0000,0,0,0,0,0,0
13388_15738,c4legacy,0.010457066077090050593,12.56,0.0000,0.0000,0,0,0,0,0,0
13388_15738,c4,0.010457066077090050593,10.70,0.0000,0.0000,0,0,0,0,0,0
3110_11704,c2,0.080393627106728843268,236.87,5.9995,13.6790,238,21749,4069,3267,0,0
3110_11704,c4legacy,0.080393627106728843268,227.91,5.6422,12.4190,238,21749,4069,3267,0,0
3110_11704,c4,0.080393622314894969128,67.63,0.1859,0.2124,29,62,62,58,62,0
12501_7252,c2,0.020605423314468115925,38.67,0.6408,0.0458,24,2765,433,406,0,0
12501_7252,c4legacy,0.020605423314468115925,37.37,0.6129,0.0434,24,2765,433,406,0,0
12501_7252,c4,0.020605418401751195157,37.28,0.6842,0.0307,25,51,51,51,51,0
10725_2829,c2,0.054040554031886969821,206.23,4.0118,16.4600,144,14477,5029,4922,0,0
10725_2829,c4legacy,0.054040554031886969821,197.93,4.3613,16.3130,144,14477,5029,4922,0,0
10725_2829,c4,0.054040550810818557825,47.86,0.2913,0.1805,26,89,89,83,89,0
12001_15004,c2,0.046717400287055475816,55.15,0.8807,1.9584,36,3372,1091,719,0,0
12001_15004,c4legacy,0.046717400287055475816,56.13,0.8518,2.0432,36,3372,1091,719,0,0
12001_15004,c4,0.046717394900271914937,52.28,0.3163,0.3297,36,124,124,112,124,0
15818_12700,c2,0.062990349420297075955,168.55,4.9561,12.6030,177,18447,6117,5422,0,0
15818_12700,c4legacy,0.062990349420297075955,172.66,4.8983,12.4780,177,18447,6117,5422,0,0
15818_12700,c4,0.062990345665779226558,43.46,0.2201,0.3434,26,130,130,119,130,0
5987_9300,c2,0.11759929077871550396,706.37,8.0456,60.1910,259,24399,7612,7320,0,0
5987_9300,c4legacy,0.11759929077871550396,676.24,7.0960,55.9890,259,24399,7612,7320,0,0
5987_9300,c4,0.11759928388840189262,634.59,3.7722,6.9244,259,820,820,820,820,0
14551_3143,c2,0.062748100339338599984,350.13,4.0387,42.7230,155,15946,3375,2841,0,0
14551_3143,c4legacy,0.062748100339338599984,358.57,4.8549,46.4210,155,15946,3375,2841,0,0
14551_3143,c4,0.06274809285918168944,254.02,0.5817,0.7205,26,67,67,62,67,0
11350_14909,c2,0.087868032152151068215,34.22,0.7885,1.0840,36,3145,818,614,0,0
11350_14909,c4legacy,0.087868032152151068215,31.63,0.7207,1.0699,36,3145,818,614,0,0
11350_14909,c4,0.087868026949080385579,30.87,0.4553,0.2157,36,97,97,93,97,0
10167_4547,c2,0.053802264336549616985,309.70,1.9522,19.6090,81,7396,2081,1407,0,0
10167_4547,c4legacy,0.053802264336549616985,306.60,1.9436,18.5480,81,7396,2081,1407,0,0
10167_4547,c4,0.053802257926348392991,271.85,1.6732,4.5463,105,200,200,174,200,0
5431_2218,c2,0.01847810701455327928,618.94,12.5910,90.8530,416,43769,18180,17730,0,0
5431_2218,c4legacy,0.01847810701455327928,585.17,12.3410,90.4730,416,43769,18180,17730,0,0
5431_2218,c4,0.018478102874809387846,510.20,6.8807,13.0710,403,2107,2107,2079,2107,0
15961_1595,c2,0.079660955770478963922,41.78,0.8036,0.4372,26,2962,853,478,0,0
15961_1595,c4legacy,0.079660955770478963922,42.27,0.7799,0.4994,26,2962,853,478,0,0
15961_1595,c4,0.07966094629640498026,42.59,0.4186,0.2790,26,91,91,88,91,0
12057_14381,c2,0.047631380854940744141,52.49,1.2340,2.3380,40,4414,1661,1080,0,0
12057_14381,c4legacy,0.047631380854940744141,53.99,1.1954,2.3447,40,4414,1661,1080,0,0
12057_14381,c4,0.047631375302095949054,49.37,0.5849,0.3919,40,174,174,149,174,0
2599_8892,c2,0.055378501030101057179,118.00,1.6438,0.1187,109,7762,1447,425,0,0
2599_8892,c4legacy,0.055378501030101057179,126.77,1.6290,0.1152,109,7762,1447,425,0,0
2599_8892,c4,0.055378491127653417525,118.87,0.5869,0.0595,84,198,198,191,198,0
