pair,arm,ans,status,wall_ms,arr_ms,fre_ms,bbcalls,regions
p000,A0,4.8679595205734145225,OK,505.60,66.4620,162.6900,16567,0
p000,C5L,4.8679595205734145225,OK,505.20,68.1820,160.4800,16567,0
p000,C5N,4.8679595233733872206,OK,305.17,2.5697,19.3290,4513,680
p000,C5,4.867959514973468238,OK,307.18,2.5733,18.3750,4513,680
p001,A0,4.169101498145516338,OK,205.45,25.7250,34.3900,6580,0
p001,C5L,4.169101498145516338,OK,205.51,23.4870,34.1340,6580,0
p001,C5N,4.1691015015412826727,OK,206.47,0.5659,6.4255,2097,246
p001,C5,4.1691014947497500032,OK,205.78,0.5499,5.4658,2101,244
p002,A0,10.587989972001116357,OK,709.51,49.1960,144.5600,8881,0
p002,C5L,10.587989972001116357,OK,708.02,48.9380,142.2200,8881,0
p002,C5N,10.58798997683045684,OK,606.26,2.0661,28.3810,2382,315
p002,C5,10.587989967171775874,OK,607.49,2.0450,25.8560,2379,315
p003,A0,2.9804820247661094612,OK,305.37,24.5970,81.2470,6886,0
p003,C5L,2.9804820247661094612,OK,307.42,23.8730,74.6980,6886,0
p003,C5N,2.9804820285892956733,OK,104.33,0.8525,6.6671,1925,210
p003,C5,2.9804820209429228051,OK,206.34,0.9761,7.9478,1927,210
p004,A0,3.7136801947059274731,OK,205.37,27.9290,14.9130,3922,0
p004,C5L,3.7136801947059274731,OK,107.93,25.2050,13.7610,3922,0
p004,C5N,3.7136801995911152829,OK,104.59,0.9507,5.2882,1251,400
p004,C5,3.7136801898207396633,OK,105.25,1.4233,6.7621,1251,400
p005,A0,2.1017443545740013278,OK,305.46,35.5010,41.1180,6886,0
p005,C5L,2.1017443545740013278,OK,305.76,37.7940,41.3310,6886,0
p005,C5N,2.1017443589648872049,OK,206.36,0.7260,11.5150,1688,337
p005,C5,2.1017443501831158947,OK,204.77,0.7546,13.3770,1688,337
p006,A0,2.6990009047208016746,OK,705.96,76.7900,242.5100,16275,0
p006,C5L,2.6990009047208016746,OK,706.07,79.2740,228.7900,16275,0
p006,C5N,2.6990009047208016746,OK,405.68,2.5872,32.2350,5500,719
p006,C5,2.6990008957122859634,OK,506.36,2.8003,32.6870,5500,719
p007,A0,2.2449580498366605852,OK,206.18,18.4220,31.1180,2812,0
p007,C5L,2.2449580498366605852,OK,206.31,18.9210,32.3450,2812,0
p007,C5N,2.2449580533317221587,OK,105.41,0.3989,10.3440,1069,339
p007,C5,2.2449580428465369941,OK,105.85,0.3852,10.0150,1074,339
p008,A0,5.710067991410314292,OK,306.32,53.9160,67.3250,10748,0
p008,C5L,5.710067991410314292,OK,306.94,60.0060,65.5500,10748,0
p008,C5N,5.7100679940598180195,OK,207.26,2.1821,9.9581,2414,358
p008,C5,5.710067986111306837,OK,204.97,2.1474,9.9884,2406,356
p009,A0,2.4687319806310430437,OK,404.96,58.7990,145.7000,9241,0
p009,C5L,2.4687319806310430437,OK,306.75,51.6380,132.7000,9241,0
p009,C5N,2.4687319844204713704,OK,204.79,1.6569,19.2750,1987,583
p009,C5,2.468731976841614717,OK,205.36,1.7880,24.4330,1978,583
p010,A0,1.7485396845571359314,OK,205.46,22.9280,38.2920,5144,0
p010,C5L,1.7485396845571359314,OK,207.81,19.2280,35.9290,5144,0
p010,C5N,1.7485396889690973943,OK,107.20,0.4269,2.8712,1064,106
p010,C5,1.7485396801451744686,OK,105.84,0.4906,3.6372,1064,106
p011,A0,5.1530264269152432632,OK,305.47,61.0300,92.5850,14626,0
p011,C5L,5.1530264269152432632,OK,407.08,70.9280,101.2000,14626,0
p011,C5N,5.1530264269152432632,OK,206.08,2.5793,13.0820,4039,542
p011,C5,5.1530264195432815555,OK,206.93,2.2058,11.6000,4039,542
p012,A0,1.8093673251043920214,OK,309.00,22.0710,66.0100,4822,0
p012,C5L,1.8093673251043920214,OK,306.54,32.3570,65.3120,4822,0
p012,C5N,1.8093673288200702309,OK,206.36,0.8972,9.4961,1513,271
p012,C5,1.8093673213887138118,OK,207.53,1.0815,10.8890,1513,271
p013,A0,12.343631300439216858,OK,605.30,49.2900,98.7410,7675,0
p013,C5L,12.343631300439216858,OK,605.65,51.1310,98.2040,7675,0
p013,C5N,12.343631303275596878,OK,406.00,1.0260,9.2762,1741,172
p013,C5,12.343631294766453266,OK,406.61,1.1789,10.4160,1741,172
p014,A0,5.1353543603314211197,OK,306.42,19.3490,32.4270,6201,0
p014,C5L,5.1353543603314211197,OK,307.85,16.7760,31.8880,6201,0
p014,C5N,5.1353543644284593839,OK,205.22,0.6695,5.9617,2780,225
p014,C5,5.1353543562343819673,OK,205.66,0.7768,5.1769,2780,225
p015,A0,1.9997522323695806623,OK,405.55,37.4080,153.6200,6417,0
p015,C5L,1.9997522323695806623,OK,405.45,38.5790,152.5800,6417,0
p015,C5N,1.9997522384108925575,OK,307.22,1.6797,36.1110,1951,609
p015,C5,1.9997522293489247147,OK,305.53,1.6950,35.8270,1932,608
p016,A0,17.112528949625669838,OK,1006.21,61.1370,242.2100,12053,0
p016,C5L,17.112528949625669838,OK,1007.72,45.6490,228.4800,12053,0
p016,C5N,17.112528953324449787,OK,807.68,1.9990,52.1120,5404,560
p016,C5,17.11252894592688989,OK,706.17,1.7942,42.9570,5404,560
p017,A0,2.1538729634437223659,OK,2608.82,138.0500,1230.1000,21892,0
p017,C5L,2.1538729634437223659,OK,2608.58,142.5400,1228.6000,21892,0
p017,C5N,2.1538729634437223659,OK,1307.14,3.4152,94.3000,5333,745
p017,C5,2.1538729559409688363,OK,1312.00,3.0779,88.3790,5333,745
p018,A0,2.4738519973678663177,OK,506.89,36.2110,178.3800,8475,0
p018,C5L,2.4738519973678663177,OK,406.96,32.6820,172.1800,8475,0
p018,C5N,2.4738520024336958514,OK,307.85,1.4289,22.1750,1725,383
p018,C5,2.4738519923020367841,OK,305.82,1.8000,22.0460,1722,383
p019,A0,4.4181805698801062121,OK,810.61,19.0330,167.7500,5867,0
p019,C5L,4.4181805698801062121,OK,805.86,19.9400,175.5100,5867,0
p019,C5N,4.4181805698801062121,OK,705.34,1.1220,35.2060,2198,250
p019,C5,4.4181805608080253478,OK,706.62,0.9643,27.7920,2195,250
p020,A0,1.771661273737062503,OK,508.91,44.0560,145.0200,7848,0
p020,C5L,1.771661273737062503,OK,506.43,46.8190,147.3200,7848,0
p020,C5N,1.7716612791449417585,OK,309.38,1.5749,26.2370,1307,314
p020,C5,1.7716612683291832475,OK,409.41,3.4828,27.7170,1311,314
p021,A0,4.6811415033149010867,OK,407.38,32.5760,62.3650,5365,0
p021,C5L,4.6811415033149010867,OK,405.65,32.7510,61.6240,5365,0
p021,C5N,4.6811415092585058062,OK,306.01,0.7010,9.0740,1880,193
p021,C5,4.6811415003430996151,OK,306.49,1.1615,12.6320,1878,191
p022,A0,2.7050233683397255646,OK,106.52,20.0860,17.6070,4116,0
p022,C5L,2.7050233683397255646,OK,104.89,17.6820,14.9320,4116,0
p022,C5N,2.7050233722493439714,OK,106.31,0.6728,5.6279,1327,239
p022,C5,2.7050233644301067137,OK,104.79,0.3730,2.7760,1325,239
p023,A0,7.2938536362679489145,OK,306.22,56.0190,48.1330,7792,0
p023,C5L,7.2938536362679489145,OK,305.28,58.0530,53.7230,7792,0
p023,C5N,7.2938536426553177705,OK,207.31,0.5133,6.6803,1396,152
p023,C5,7.2938536330742653746,OK,205.15,0.3926,5.8135,1397,153
p024,A0,2.3449801628729529668,OK,808.29,25.7180,164.5200,3737,0
p024,C5L,2.3449801628729529668,OK,708.05,20.7950,158.6000,3737,0
p024,C5N,2.3449801699148968837,OK,605.74,0.3898,22.2360,1456,139
p024,C5,2.3449801593519810083,OK,607.65,0.5544,30.0300,1460,143
p025,A0,3.9606347839193030147,OK,1406.92,117.2700,340.0400,26143,0
p025,C5L,3.9606347839193030147,OK,1407.37,136.8900,333.5100,26143,0
p025,C5N,3.9606347910531845002,OK,907.29,3.6152,37.9030,7931,954
p025,C5,3.9606347803523620499,OK,910.21,3.5060,40.3190,7931,954
p026,A0,10.607329324938589821,OK,806.78,72.2470,144.4700,14332,0
p026,C5L,10.607329324938589821,OK,806.98,75.8900,153.1800,14332,0
p026,C5N,10.607329329878012913,OK,906.34,4.4560,47.6820,6530,1382
p026,C5,10.607329319999166728,OK,406.18,0.4265,8.9907,1523,170
p027,A0,5.5120249090144994852,OK,207.36,17.2380,53.8970,3640,0
p027,C5L,5.5120249090144994852,OK,205.17,12.7720,39.9800,3640,0
p027,C5N,5.5120249124708440291,OK,206.85,0.5542,10.8970,1397,266
p027,C5,5.5120249021018086211,OK,206.23,0.5547,10.7150,1394,266
p028,A0,3.6370154085748582773,OK,506.15,52.6390,206.3300,16163,0
p028,C5L,3.6370154085748582773,OK,505.54,49.6880,195.5100,16163,0
p028,C5N,3.6370154085748582773,OK,305.30,2.8844,26.1230,4518,617
p028,C5,3.6370153996183969269,OK,306.96,4.0624,30.0480,4516,619
p029,A0,6.8421979599618483192,OK,1107.24,31.6180,196.7800,9227,0
p029,C5L,6.8421979599618483192,OK,1007.01,30.8620,182.5900,9227,0
p029,C5N,6.8421979641209933476,OK,807.38,1.4553,24.0090,4551,239
p029,C5,6.8421979558027032908,OK,906.59,1.4581,24.2590,4551,239
