pair,arm,ans,status,wall_ms,arr_ms,fre_ms,bbcalls,regions
13962_4238,A0,0.027728289171009411207,OK,1209.17,313.8200,42.3750,67888,0
13962_4238,D1,0.027728289171009411207,OK,807.93,22.9000,33.5290,33588,0
13962_4238,C4,0.027728282572582453602,OK,205.29,0.1474,0.0793,1454,65
13962_4238,C5,0.027728282572582453602,OK,206.66,0.1296,0.0776,1454,65
13388_15738,A0,0.010457066077090050593,OK,105.72,0.0000,0.0000,72,0
13388_15738,D1,0.010457066077090050593,OK,105.01,0.0000,0.0000,72,0
13388_15738,C4,0.010457066077090050593,OK,105.50,0.0000,0.0000,72,0
13388_15738,C5,0.010457066077090050593,OK,107.54,0.0000,0.0000,72,0
3110_11704,A0,0.080393627106728843268,OK,505.78,108.5500,34.6610,25103,0
3110_11704,D1,0.080393627106728843268,OK,305.78,7.2544,19.9980,7834,0
3110_11704,C4,0.080393622314894969128,OK,105.17,0.2724,0.2424,2133,62
3110_11704,C5,0.080393622314894969128,OK,106.38,0.1953,0.2439,2133,62
12501_7252,A0,0.020605423314468115925,OK,104.90,11.3870,0.3355,3512,0
12501_7252,D1,0.020605423314468115925,OK,107.43,0.5877,0.0409,1039,0
12501_7252,C4,0.020605418401751195157,OK,105.61,0.7989,0.0369,713,51
12501_7252,C5,0.020605418401751195157,OK,105.48,0.7277,0.0316,713,51
10725_2829,A0,0.054040554031886969821,OK,405.66,86.7440,36.3430,21521,0
10725_2829,D1,0.054040554031886969821,OK,305.32,4.8927,25.8320,10742,0
10725_2829,C4,0.054040550810818557825,OK,108.41,0.3591,0.2224,963,89
10725_2829,C5,0.054040550810818557825,OK,104.74,0.3040,0.1998,963,89
12001_15004,A0,0.046717400287055475816,OK,105.83,15.4890,5.2391,5640,0
12001_15004,D1,0.046717400287055475816,OK,105.27,3.8776,3.8374,3846,0
12001_15004,C4,0.046717394900271914937,OK,104.61,0.4725,0.5315,3232,124
12001_15004,C5,0.046717394900271914937,OK,104.83,1.1352,0.5220,3232,124
15818_12700,A0,0.062990349420297075955,OK,206.12,33.3390,10.9240,7781,0
15818_12700,D1,0.062990349420297075955,OK,305.40,6.7267,19.1010,11100,0
15818_12700,C4,0.062990345665779226558,OK,105.32,0.2905,0.3155,914,130
15818_12700,C5,0.062990345665779226558,OK,107.78,0.2000,0.3011,914,130
5987_9300,A0,0.11759929077871550396,OK,1206.50,113.6300,174.8400,53852,0
5987_9300,D1,0.11759929077871550396,OK,1010.83,9.6208,91.8110,34913,0
5987_9300,C4,0.11759928388840189262,OK,907.99,4.7914,11.3480,28402,820
5987_9300,C5,0.11759928388840189262,OK,906.69,4.7844,10.4380,28402,820
14551_3143,A0,0.062748100339338599984,OK,610.09,74.8110,116.5600,16820,0
14551_3143,D1,0.062748100339338599984,OK,506.64,5.7468,91.0890,5874,0
14551_3143,C4,0.06274809285918168944,OK,306.76,0.8826,1.1999,1506,67
14551_3143,C5,0.06274809285918168944,OK,308.01,0.6972,1.1716,1506,67
11350_14909,A0,0.087868032152151068215,OK,105.19,12.5480,3.5396,5005,0
11350_14909,D1,0.087868032152151068215,OK,108.83,0.9027,1.6142,2763,0
11350_14909,C4,0.087868026949080385579,OK,106.83,0.4164,0.2574,2249,97
11350_14909,C5,0.087868026949080385579,OK,105.99,0.5967,0.2613,2249,97
10167_4547,A0,0.053802264336549616985,OK,605.68,48.4630,82.0640,11738,0
10167_4547,D1,0.053802264336549616985,OK,507.36,3.3881,30.0470,6494,0
10167_4547,C4,0.053802257926348392991,OK,410.46,2.1826,6.5577,5315,200
10167_4547,C5,0.053802257926348392991,OK,405.14,2.2834,7.8345,5315,200
5431_2218,A0,0.01847810701455327928,OK,1207.82,254.9400,183.6300,77085,0
5431_2218,D1,0.01847810701455327928,OK,908.41,18.7460,152.0300,47980,0
5431_2218,C4,0.018478102874809387846,OK,713.64,9.0609,19.8360,32150,2107
5431_2218,C5,0.018478102874809387846,OK,808.20,9.1408,20.5960,32150,2107
15961_1595,A0,0.079660955770478963922,OK,107.63,11.2760,0.9241,3268,0
15961_1595,D1,0.079660955770478963922,OK,106.72,0.9798,0.6991,1899,0
15961_1595,C4,0.07966094629640498026,OK,105.78,0.4939,0.4616,1509,91
15961_1595,C5,0.07966094629640498026,OK,105.74,0.4654,0.3808,1509,91
12057_14381,A0,0.047631380854940744141,OK,107.71,21.1350,6.6536,6949,0
12057_14381,D1,0.047631380854940744141,OK,106.78,1.2653,3.2961,4608,0
12057_14381,C4,0.047631375302095949054,OK,105.84,0.6810,0.5251,3677,174
12057_14381,C5,0.047631375302095949054,OK,104.40,0.7652,0.5584,3677,174
