pair,arm,ans,status,wall_ms,arr_ms,fre_ms,bbcalls,regions
13962_4238,A0,0.027728289171009411207,OK,1011.51,244.4300,34.3710,67888,0
13962_4238,C5L,0.027728289171009411207,OK,1007.24,286.3700,34.5930,67888,0
13962_4238,C5N,0.027728289171009411207,OK,605.75,8.5647,4.3022,16242,2606
13962_4238,C5,0.027728282572582453602,OK,206.45,0.1153,0.0644,1454,65
13388_15738,A0,0.010457066077090050593,OK,105.51,0.0000,0.0000,72,0
13388_15738,C5L,0.010457066077090050593,OK,105.99,0.0000,0.0000,72,0
13388_15738,C5N,0.010457066077090050593,OK,105.44,0.0000,0.0000,72,0
13388_15738,C5,0.010457066077090050593,OK,105.20,0.0000,0.0000,72,0
3110_11704,A0,0.080393627106728843268,OK,407.26,90.0060,31.9170,25103,0
3110_11704,C5L,0.080393627106728843268,OK,507.31,96.9930,34.7010,25103,0
3110_11704,C5N,0.080393631898562717408,OK,606.59,5.4889,6.8381,9112,1025
3110_11704,C5,0.080393622314894969128,OK,106.98,0.1843,0.2169,2133,62
12501_7252,A0,0.020605423314468115925,OK,105.37,9.7787,0.2060,3512,0
12501_7252,C5L,0.020605423314468115925,OK,105.08,9.0716,0.1369,3512,0
12501_7252,C5N,0.020605428227185033224,OK,106.33,2.1106,0.2030,772,35
12501_7252,C5,0.020605418401751195157,OK,105.02,0.6177,0.0285,713,51
10725_2829,A0,0.054040554031886969821,OK,406.15,80.5100,35.8990,21521,0
10725_2829,C5L,0.054040554031886969821,OK,407.64,76.1470,34.7430,21521,0
10725_2829,C5N,0.054040554031886969821,OK,405.75,5.3322,9.5527,8302,1042
10725_2829,C5,0.054040550810818557825,OK,105.24,0.2840,0.1870,963,89
12001_15004,A0,0.046717400287055475816,OK,106.04,16.3300,4.9700,5640,0
12001_15004,C5L,0.046717400287055475816,OK,104.72,16.9440,5.0647,5640,0
12001_15004,C5N,0.046717405673839043634,OK,105.18,0.4007,0.6823,3247,123
12001_15004,C5,0.046717394900271914937,OK,105.97,0.3076,0.3634,3232,124
15818_12700,A0,0.062990349420297075955,OK,206.40,31.4590,9.2943,7781,0
15818_12700,C5L,0.062990349420297075955,OK,205.79,27.8620,8.1051,7781,0
15818_12700,C5N,0.062990356929332774749,OK,605.87,10.8850,14.7170,14812,2429
15818_12700,C5,0.062990345665779226558,OK,105.99,0.2326,0.3122,914,130
5987_9300,A0,0.11759929077871550396,OK,1207.66,105.5100,169.5100,53852,0
5987_9300,C5L,0.11759929077871550396,OK,1207.81,107.9000,177.3600,53852,0
5987_9300,C5N,0.11759929077871550396,OK,908.21,4.3268,9.7453,28412,819
5987_9300,C5,0.11759928388840189262,OK,907.29,4.5276,11.8680,28402,820
14551_3143,A0,0.062748100339338599984,OK,605.64,59.6230,104.8900,16820,0
14551_3143,C5L,0.062748100339338599984,OK,606.05,62.7020,101.7200,16820,0
14551_3143,C5N,0.062748100339338599984,OK,505.84,5.2637,15.0220,6001,719
14551_3143,C5,0.06274809285918168944,OK,305.45,0.8314,1.3360,1506,67
11350_14909,A0,0.087868032152151068215,OK,105.59,13.0960,3.4509,5005,0
11350_14909,C5L,0.087868032152151068215,OK,105.00,16.3870,4.4733,5005,0
11350_14909,C5N,0.087868034753686402594,OK,104.97,0.4796,0.3448,2251,98
11350_14909,C5,0.087868026949080385579,OK,105.07,0.5381,0.3712,2249,97
10167_4547,A0,0.053802264336549616985,OK,605.66,43.7020,84.9660,11738,0
10167_4547,C5L,0.053802264336549616985,OK,605.46,42.0360,78.3240,11738,0
10167_4547,C5N,0.053802267541650225513,OK,505.41,2.7025,6.8469,5361,214
10167_4547,C5,0.053802257926348392991,OK,505.10,2.0095,6.0757,5315,200
5431_2218,A0,0.01847810701455327928,OK,1205.97,252.7900,178.2000,77085,0
5431_2218,C5L,0.01847810701455327928,OK,1208.03,246.1000,175.5700,77085,0
5431_2218,C5N,0.018478111154297170715,OK,806.28,9.8075,21.5400,32811,2358
5431_2218,C5,0.018478102874809387846,OK,806.17,8.2078,18.8390,32150,2107
15961_1595,A0,0.079660955770478963922,OK,104.69,10.9080,0.9107,3268,0
15961_1595,C5L,0.079660955770478963922,OK,105.15,12.6420,1.1600,3268,0
15961_1595,C5N,0.079660955770478963922,OK,105.03,0.4156,0.3637,1509,91
15961_1595,C5,0.07966094629640498026,OK,106.00,0.3699,0.3143,1509,91
12057_14381,A0,0.047631380854940744141,OK,105.19,23.8440,7.2899,6949,0
12057_14381,C5L,0.047631380854940744141,OK,105.59,23.6600,6.7514,6949,0
12057_14381,C5N,0.047631386407785539228,OK,104.95,0.9819,0.6946,3685,178
12057_14381,C5,0.047631375302095949054,OK,105.13,0.6655,0.5110,3677,174
2599_8892,A0,0.055378501030101057179,OK,205.76,35.4550,0.4247,4432,0
2599_8892,C5L,0.055378501030101057179,OK,205.18,37.8390,0.4384,4432,0
2599_8892,C5N,0.055378501030101057179,OK,205.33,0.6715,0.0615,866,183
2599_8892,C5,0.055378491127653417525,OK,205.64,0.7702,0.0644,895,198
6700_7883,A0,0.17366249150237195176,OK,807.78,244.3000,145.3200,67580,0
6700_7883,C5L,0.17366249150237195176,OK,806.25,266.1000,153.1600,67580,0
6700_7883,C5N,0.17366249409014236638,OK,305.24,8.6164,13.1510,14337,2024
6700_7883,C5,0.17366248632683106701,OK,406.66,8.1015,14.4640,14122,1956
9054_15829,A0,0.02388999029156020637,OK,1406.99,207.7000,233.0400,66885,0
9054_15829,C5L,0.02388999029156020637,OK,1312.31,190.9000,222.6500,66885,0
9054_15829,C5N,0.023889995985498228837,OK,906.95,8.0580,17.0320,24042,1477
9054_15829,C5,0.023889987444591191668,OK,1006.40,7.7134,16.0090,23668,1421
9322_2012,A0,0.037227410885901160431,OK,107.45,13.6520,0.6350,3581,0
9322_2012,C5L,0.037227410885901160431,OK,106.39,11.7640,0.7044,3581,0
9322_2012,C5N,0.037227410885901160431,OK,105.77,0.2267,0.1126,1990,71
