n      p   |     O_arr     C_arr    arrX |     O_fre     C_fre    freX |     O_tot     C_tot    totX | match
-----------------------------------------------------------------------------------------------------------------
n=6    0   |     58.49    105.90   0.55x |      2.58      0.49   5.29x |     61.06    106.39   0.57x | OK
n=6    1   |     60.68     94.44   0.64x |      1.61      0.32   5.02x |     62.30     94.77   0.66x | OK
n=8    0   |    111.96    136.37   0.82x |      2.58      0.48   5.35x |    114.54    136.85   0.84x | OK
n=8    1   |    174.57    301.20   0.58x |     12.17      0.77  15.76x |    186.74    301.97   0.62x | OK
n=10   0   |    284.74    486.87   0.58x |     21.26      1.34  15.83x |    306.00    488.21   0.63x | OK
n=10   1   |    401.62    685.91   0.59x |     11.36      0.59  19.25x |    412.98    686.50   0.60x | OK
n=12   0   |    653.79    988.83   0.66x |     25.30      0.85  29.73x |    679.09    989.68   0.69x | OK
n=12   1   |    319.15    455.12   0.70x |     18.46      0.73  25.22x |    337.61    455.85   0.74x | OK
n=14   0   |    583.34   1666.60   0.35x |     31.66      2.68  11.83x |    615.00   1669.28   0.37x | OK
n=14   1   |   1264.20   2408.10   0.52x |     75.08      2.62  28.61x |   1339.28   2410.72   0.56x | OK
n=16   0   |   1150.20   2687.90   0.43x |    133.90      8.52  15.72x |   1284.10   2696.42   0.48x | OK
n=16   1   |   1547.00   3596.30   0.43x |     86.32      0.75 114.63x |   1633.32   3597.05   0.45x | OK
n=18   0   |   1004.20   2154.20   0.47x |     68.84      3.21  21.47x |   1073.04   2157.41   0.50x | OK
n=18   1   |   1432.10   3263.70   0.44x |     81.71      5.14  15.89x |   1513.81   3268.84   0.46x | OK
n=20   0   |   4392.30  12488.00   0.35x |    384.70      9.98  38.55x |   4777.00  12497.98   0.38x | OK
n=20   1   |   3176.50   8850.10   0.36x |    225.99      6.42  35.23x |   3402.49   8856.52   0.38x | OK
n=24   0   |   2273.60   6234.70   0.36x |    160.63      4.91  32.73x |   2434.23   6239.61   0.39x | OK
n=24   1   |   2657.50   7654.30   0.35x |    216.52      4.71  46.00x |   2874.02   7659.01   0.38x | OK
n=28   0   |   3366.60  11029.00   0.31x |    209.41      4.41  47.47x |   3576.01  11033.41   0.32x | OK
n=28   p=1  TIMEOUT/err (orig_rc=0 cand_rc=124, TL=60s) -- stopping sweep
