pair,mode,ans,wall_ms,arr_ms,fre_ms,builds,m,K,queries
13962_4238,on,0.027728289171009411207,414.25,11.8510,15.0130,486,51242,20672,19962
13962_4238,off,0.027728289171009411207,413.72,2.2514,19.0740,486,51242,51242,49329
13962_4238,mask-only,0.027728289171009411207,417.15,9.1549,19.1580,486,51242,51242,49329
13388_15738,on,0.010457066077090050593,9.26,0.0000,0.0000,0,0,0,0
13388_15738,off,0.010457066077090050593,8.53,0.0000,0.0000,0,0,0,0
13388_15738,mask-only,0.010457066077090050593,8.47,0.0000,0.0000,0,0,0,0
3110_11704,on,0.080393627106728843268,186.75,4.8265,10.4260,238,21749,4069,3267
3110_11704,off,0.080393627106728843268,188.08,1.0462,17.4220,238,21749,21749,18581
3110_11704,mask-only,0.080393627106728843268,190.91,3.9879,17.6230,238,21749,21749,18581
12501_7252,on,0.020605423314468115925,34.40,0.5150,0.0218,24,2765,433,406
12501_7252,off,0.020605423314468115925,31.47,0.1181,0.0590,24,2765,2765,2622
12501_7252,mask-only,0.020605423314468115925,32.25,0.3565,0.0576,24,2765,2765,2622
10725_2829,on,0.054040554031886969821,154.64,3.3409,13.5510,144,14477,5029,4922
10725_2829,off,0.054040554031886969821,155.81,0.6636,18.3370,144,14477,14477,14215
10725_2829,mask-only,0.054040554031886969821,160.62,2.6392,18.9250,144,14477,14477,14215
12001_15004,on,0.046717400287055475816,48.48,0.7592,1.8156,36,3372,1091,719
12001_15004,off,0.046717400287055475816,46.59,0.1956,2.9156,36,3372,3372,2233
12001_15004,mask-only,0.046717400287055475816,46.57,0.5810,2.7459,36,3372,3372,2233
15818_12700,on,0.062990349420297075955,151.30,4.2258,10.6000,177,18447,6117,5422
15818_12700,off,0.062990349420297075955,61.11,0.3363,5.3785,77,7648,7648,5614
15818_12700,mask-only,0.062990349420297075955,62.51,1.1696,5.2089,77,7648,7648,5614
5987_9300,on,0.11759929077871550396,539.68,5.7251,43.7160,259,24399,7612,7320
5987_9300,off,0.11759929077871550396,587.01,1.1880,92.7700,259,24399,24399,23770
5987_9300,mask-only,0.11759929077871550396,583.63,4.5127,90.8100,259,24399,24399,23770
14551_3143,on,0.062748100339338599984,302.61,3.4248,36.3490,155,15946,3375,2841
14551_3143,off,0.062748100339338599984,325.03,0.6617,63.2670,155,15946,15946,12371
14551_3143,mask-only,0.062748100339338599984,330.26,2.7483,63.0480,155,15946,15946,12371
11350_14909,on,0.087868032152151068215,32.28,0.6308,0.9449,36,3145,818,614
11350_14909,off,0.087868032152151068215,28.67,0.1478,1.8725,36,3145,3145,2605
11350_14909,mask-only,0.087868032152151068215,28.78,0.5191,1.9098,36,3145,3145,2605
10167_4547,on,0.053802264336549616985,251.73,1.7074,16.3140,81,7396,2081,1407
10167_4547,off,0.053802264336549616985,273.50,0.4508,42.9110,107,10485,10485,5866
10167_4547,mask-only,0.053802264336549616985,276.57,1.7659,42.5220,107,10485,10485,5866
5431_2218,on,0.01847810701455327928,505.00,10.3620,73.0770,416,43769,18180,17730
5431_2218,off,0.01847810701455327928,516.99,1.9403,93.1350,416,43769,43769,42610
5431_2218,mask-only,0.01847810701455327928,535.48,7.9043,93.3140,416,43769,43769,42610
15961_1595,on,0.079660955770478963922,41.95,0.6545,0.3721,26,2962,853,478
15961_1595,off,0.079660955770478963922,36.61,0.1559,0.5471,26,2962,2962,1610
15961_1595,mask-only,0.079660955770478963922,39.08,0.5828,0.5513,26,2962,2962,1610
12057_14381,on,0.047631380854940744141,48.54,1.0409,2.0142,40,4414,1661,1080
12057_14381,off,0.047631380854940744141,50.00,0.2233,3.6464,40,4414,4414,3106
12057_14381,mask-only,0.047631380854940744141,50.00,0.7847,3.7717,40,4414,4414,3106
2599_8892,on,0.055378501030101057179,109.09,1.4357,0.0894,109,7762,1447,425
2599_8892,off,0.055378501030101057179,104.32,0.2069,0.1040,79,7096,7096,3446
