build_id,path,N,V_pairs,m,K_band,K_band_distinct,K_band_distinct_lo,K_exact,K_exact_distinct,n_degen_band,n_degen_geom,n_isolated,t_exact_ms
1,geo:n08:p0,64,1768,3598,136,71,117,3536,17,3534,0,0,45.676
2,geo:n08:p0,64,2011,4086,15,8,9,4022,3,4022,0,0,57.238
3,geo:n08:p0,64,1961,3986,100,50,88,3922,6,3922,0,0,50.385
4,geo:n08:p0,64,1896,3856,108,55,94,3792,9,3792,0,0,51.795
5,geo:n08:p0,64,1856,3776,224,114,173,3712,22,3712,0,0,52.417
6,geo:n08:p0,64,1805,3674,183,94,151,3610,16,3610,0,0,54.621
7,geo:n08:p0,64,1790,3644,149,76,125,3580,14,3580,0,0,49.009
8,geo:n08:p0,64,1775,3614,150,77,126,3550,15,3550,0,0,56.045
9,geo:n08:p0,64,1773,3610,159,80,130,3546,18,3546,0,0,52.102
10,geo:n08:p0,64,1769,3602,154,78,130,3538,17,3538,0,0,48.724
11,geo:n08:p0,64,1769,3602,147,76,124,3538,17,3538,0,0,44.694
12,geo:n08:p0,64,1769,3602,144,74,121,3538,17,3538,0,0,40.435
13,geo:n08:p0,64,1769,3602,146,74,124,3538,17,3538,0,0,41.441
14,geo:n08:p0,64,1769,3602,144,73,122,3538,18,3538,0,0,46.515
15,geo:n08:p0,64,1769,3602,140,72,119,3538,18,3538,0,0,43.177
16,geo:n08:p0,64,1769,3602,141,72,120,3538,18,3538,0,0,40.748
17,geo:n08:p0,64,1769,3602,135,72,114,3538,18,3538,0,0,41.174
18,geo:n08:p0,64,1769,3602,135,72,114,3538,18,3538,0,0,44.088
19,geo:n08:p0,64,1769,3602,134,72,113,3538,18,3538,0,0,41.291
20,geo:n08:p0,64,1769,3602,134,72,113,3538,18,3538,0,0,49.556
21,geo:n08:p0,64,1769,3602,139,72,118,3538,18,3538,0,0,44.545
1,geo:n08:p1,64,1983,4030,167,83,127,3966,17,3966,0,0,49.201
2,geo:n08:p1,64,2016,4096,1,1,1,4032,1,4032,0,0,52.253
3,geo:n08:p1,64,2016,4096,3,1,3,4032,1,4032,0,0,50.441
4,geo:n08:p1,64,2016,4096,32,17,30,4032,1,4032,0,0,48.144
5,geo:n08:p1,64,2011,4086,56,29,50,4022,3,4022,0,0,46.795
6,geo:n08:p1,64,2003,4070,90,45,76,4006,6,4006,0,0,51.127
7,geo:n08:p1,64,1996,4056,122,64,103,3992,11,3992,0,0,51.289
8,geo:n08:p1,64,1991,4046,154,77,129,3982,13,3982,0,0,47.902
9,geo:n08:p1,64,1985,4034,161,81,124,3970,13,3970,0,0,44.939
10,geo:n08:p1,64,1985,4034,161,80,124,3970,15,3970,0,0,53.364
11,geo:n08:p1,64,1984,4032,173,85,133,3968,17,3968,0,0,45.509
12,geo:n08:p1,64,1984,4032,166,82,130,3968,16,3968,0,0,46.939
13,geo:n08:p1,64,1984,4032,165,82,128,3968,17,3968,0,0,51.311
14,geo:n08:p1,64,1984,4032,165,82,128,3968,17,3968,0,0,47.669
15,geo:n08:p1,64,1984,4032,170,84,129,3968,18,3968,0,0,49.034
16,geo:n08:p1,64,1984,4032,170,84,129,3968,18,3968,0,0,46.202
17,geo:n08:p1,64,1984,4032,169,84,128,3968,18,3968,0,0,47.330
18,geo:n08:p1,64,1984,4032,170,84,128,3968,18,3968,0,0,46.205
19,geo:n08:p1,64,1984,4032,170,84,128,3968,18,3968,0,0,44.752
1,geo:n08:p2,64,1985,4034,56,30,43,3970,6,3970,0,0,53.127
2,geo:n08:p2,64,2016,4096,1,1,1,4032,1,4032,0,0,50.705
