cut_limit,pair,mode,status,wall_ms,arr_ms,fre_ms
12,13962_4238,on,OK,549.32,13.4140,17.1450
12,13962_4238,off,OK,449.11,2.5112,22.9890
12,13388_15738,on,OK,19.87,0.0000,0.0000
12,13388_15738,off,OK,10.87,0.0000,0.0000
12,3110_11704,on,OK,221.27,6.1952,12.3090
12,3110_11704,off,OK,218.32,1.2057,20.7570
12,12501_7252,on,OK,38.34,0.6689,0.0468
12,12501_7252,off,OK,36.79,0.1798,0.1557
12,10725_2829,on,OK,168.38,3.5594,15.0660
12,10725_2829,off,OK,180.45,0.7276,21.0950
12,12001_15004,on,OK,50.47,0.8856,2.1473
12,12001_15004,off,OK,53.32,0.1683,3.0115
12,15818_12700,on,OK,166.78,4.4245,11.6750
12,15818_12700,off,OK,72.77,0.3736,5.9574
12,5987_9300,on,OK,645.15,7.2289,51.9990
12,5987_9300,off,OK,687.67,1.7581,112.7000
12,14551_3143,on,OK,372.34,4.1176,47.0680
12,14551_3143,off,OK,361.77,0.8641,69.0570
12,11350_14909,on,OK,30.63,0.6498,0.9510
12,11350_14909,off,OK,29.39,0.1412,2.0495
24,13962_4238,on,OK,440.52,12.8060,16.8400
24,13962_4238,off,OK,437.34,2.3200,21.7730
24,13388_15738,on,OK,23.59,0.0000,0.0000
24,13388_15738,off,OK,9.58,0.0000,0.0000
24,3110_11704,on,OK,198.64,5.2210,11.1590
24,3110_11704,off,OK,199.84,1.0239,18.9670
24,12501_7252,on,OK,35.13,0.5553,0.0378
24,12501_7252,off,OK,35.13,0.1699,0.5336
24,10725_2829,on,OK,168.07,3.6636,14.3150
24,10725_2829,off,OK,166.14,0.6940,19.0590
24,12001_15004,on,OK,50.48,0.7957,1.9392
24,12001_15004,off,OK,49.75,0.2487,3.8514
24,15818_12700,on,OK,162.90,4.4163,11.7700
24,15818_12700,off,OK,67.08,0.3213,5.6138
24,5987_9300,on,OK,579.03,6.5838,46.5430
24,5987_9300,off,OK,611.18,1.2901,96.5100
24,14551_3143,on,OK,322.02,3.9250,39.5410
24,14551_3143,off,OK,375.62,0.9616,74.7580
24,11350_14909,on,OK,30.98,0.8224,1.1322
24,11350_14909,off,OK,32.92,0.1445,2.1527
48,13962_4238,on,OK,469.48,13.5450,17.6400
48,13962_4238,off,OK,459.66,2.6969,22.5880
48,13388_15738,on,OK,90.80,0.0000,0.0000
48,13388_15738,off,OK,21.03,0.0000,0.0000
48,3110_11704,on,OK,204.50,5.2930,11.3510
48,3110_11704,off,OK,207.84,1.0507,18.7840
48,12501_7252,on,OK,37.39,0.6427,0.0498
48,12501_7252,off,OK,35.55,0.1166,0.1500
48,10725_2829,on,OK,178.46,3.7732,15.4260
48,10725_2829,off,OK,181.77,0.9134,20.2670
48,12001_15004,on,OK,51.82,0.9470,2.3415
48,12001_15004,off,OK,53.84,0.1765,3.0104
48,15818_12700,on,OK,168.66,4.7978,11.8100
48,15818_12700,off,OK,74.00,0.3658,6.4947
48,5987_9300,on,OK,654.51,7.8531,55.0970
48,5987_9300,off,OK,677.20,1.6902,99.7790
48,14551_3143,on,OK,352.14,3.9041,41.2740
48,14551_3143,off,OK,351.10,0.8328,67.3090
48,11350_14909,on,OK,29.82,0.6358,0.9608
48,11350_14909,off,OK,30.87,0.1518,1.9905
