build_id,ply,t_query_ns,is_maximal
1,2,258,0
1,3,85,0
1,2,43,0
1,4,31,0
1,5,31,0
1,3,43,0
1,4,30,0
1,2,30,0
1,3,30,0
1,2,30,0
1,5,29,0
1,5,32,1
1,5,31,0
1,5,31,0
1,5,32,0
1,2,32,0
1,3,31,0
1,3,66,0
1,4,56,0
1,4,39,0
1,5,46,0
1,4,32,0
1,5,39,0
1,6,38,1
1,5,34,1
1,6,32,1
1,7,2864,1
2,2,29,0
2,3,42,0
2,2,28,0
2,4,29,0
2,5,28,0
2,3,28,0
2,4,28,0
2,2,30,0
2,3,28,0
2,2,29,0
2,5,29,0
2,5,28,1
2,5,42,0
2,5,28,0
2,5,28,0
2,2,28,0
2,3,28,0
2,3,47,1
2,4,46,1
2,4,38,1
2,5,45,1
2,4,32,1
2,5,35,1
2,4,31,1
2,4,30,1
2,4,35,1
2,3,31,0
2,3,35,1
2,2,31,0
2,5,39,0
2,3,45,0
2,2,31,0
2,4,39,0
2,5,39,0
2,3,29,0
2,4,28,0
2,5,28,0
2,2,28,0
2,3,29,0
2,2,44,0
2,3,45,1
2,2,31,0
2,2,29,1
2,3,40,1
2,3,38,1
2,2,37,1
2,3,31,1
2,3,32,0
2,3,45,0
2,2,28,0
2,3,46,0
2,2,29,0
3,2,29,0
3,3,28,0
3,2,27,0
3,4,27,0
3,5,28,0
3,3,29,0
3,4,29,0
3,2,29,0
3,3,28,0
3,2,28,0
3,3,28,0
3,2,28,0
3,4,29,0
3,5,34,0
3,6,28,0
3,4,35,0
3,5,28,0
3,3,28,0
3,6,29,0
3,7,1950,1
4,2,28,0
4,3,28,0
4,2,29,0
4,4,28,0
4,5,28,0
4,3,28,0
4,4,28,0
4,2,28,0
4,3,27,0
4,2,29,0
4,5,28,0
4,5,28,0
4,2,28,0
4,3,28,0
4,4,28,0
4,3,28,0
4,4,49,0
4,5,28,0
4,5,28,0
4,6,28,0
4,5,46,0
4,6,47,0
4,7,2151,1
5,2,28,0
5,3,29,0
5,2,27,0
5,4,28,0
5,5,29,0
5,3,28,0
5,4,28,0
5,2,28,0
5,3,29,0
5,2,29,0
5,5,30,0
5,5,29,0
5,5,29,0
5,2,29,0
5,3,28,0
5,5,28,0
5,5,29,0
5,3,47,0
5,4,28,0
5,4,47,0
5,5,29,0
5,5,45,0
5,6,29,0
5,6,46,0
5,7,2499,1
6,2,28,0
6,3,29,0
6,2,28,0
6,4,28,0
6,5,28,0
6,3,29,0
6,4,29,0
6,2,28,0
6,3,27,0
6,2,28,0
6,5,28,0
6,5,29,0
6,5,27,0
6,5,30,0
6,5,29,0
6,2,27,0
6,3,28,0
6,3,47,0
6,4,47,0
6,4,28,0
6,5,46,0
6,5,35,0
6,6,28,0
6,6,46,0
6,7,3632,1
7,2,39,0
7,3,28,0
7,2,29,0
7,4,28,0
7,5,28,0
7,3,28,0
7,4,27,0
7,2,29,0
7,3,28,0
7,2,28,0
7,5,29,0
7,5,28,0
7,5,29,0
7,5,31,0
7,5,28,0
7,2,28,0
7,3,28,0
7,3,48,0
7,4,47,0
7,4,28,0
7,5,47,0
7,5,28,0
7,6,28,0
7,6,45,0
7,4,45,0
7,7,2496,1
8,2,30,0
8,3,39,0
8,2,30,0
8,4,31,0
8,5,31,0
8,3,30,0
8,4,31,0
8,2,30,0
8,3,31,0
8,2,27,0
8,5,28,0
8,5,28,0
8,5,29,0
8,5,28,0
8,5,29,0
8,2,28,0
8,3,29,0
8,3,51,0
8,4,47,0
8,4,29,0
8,5,47,0
8,5,28,0
8,6,28,0
8,4,45,0
8,6,45,0
8,5,45,0
8,7,2026,1
9,2,30,0
9,3,30,0
9,2,30,0
9,4,31,0
9,5,30,0
9,3,31,0
9,4,31,0
9,2,32,0
9,3,30,0
9,2,40,0
9,5,31,0
9,5,31,0
9,5,30,0
9,5,31,0
9,5,30,0
9,2,31,0
9,3,28,0
9,3,49,0
9,4,33,0
9,4,40,0
9,5,45,0
9,5,40,0
9,6,28,0
9,4,45,0
9,5,45,0
9,6,32,0
9,7,2585,1
10,2,29,0
10,3,28,0
10,2,43,0
10,4,28,0
10,5,29,0
10,3,29,0
10,4,29,0
10,2,29,0
10,3,29,0
10,2,27,0
10,5,29,0
10,5,28,0
10,5,29,0
10,5,29,0
10,5,28,0
10,2,28,0
10,3,28,0
10,3,54,0
10,4,32,0
10,4,39,0
10,5,46,0
10,4,32,0
10,5,39,0
10,6,38,0
10,5,44,0
10,6,32,0
10,7,2853,1
11,2,28,0
11,3,40,0
11,2,43,0
11,4,41,0
11,5,29,0
11,3,28,0
11,4,29,0
11,2,29,0
11,3,28,0
11,2,29,0
11,5,28,0
11,5,28,0
11,5,30,0
11,5,28,0
11,5,29,0
11,2,28,0
11,3,28,0
11,3,59,0
11,4,46,0
11,4,30,0
11,5,45,0
11,4,45,0
11,5,29,0
11,6,28,0
11,5,44,1
11,6,32,1
11,7,1898,1
12,2,30,0
12,3,28,0
12,2,29,0
12,4,27,0
12,5,28,0
12,3,29,0
12,4,28,0
12,2,29,0
12,3,28,0
12,2,28,0
12,5,28,0
12,5,28,1
12,5,41,0
12,5,29,0
12,5,29,0
12,2,28,0
12,3,28,0
12,3,47,0
12,4,47,1
12,4,41,1
12,5,34,1
12,4,34,1
12,5,38,1
12,5,32,1
12,6,40,1
12,6,4392,1
12,5,32,1
12,5,32,1
12,5,33,1
12,4,34,1
12,4,34,1
12,4,35,1
12,3,35,0
12,3,46,0
12,2,45,0
12,5,3759,0
12,3,46,0
12,2,30,0
12,4,3024,0
12,5,2440,0
12,3,2116,0
12,4,1996,0
12,2,1928,0
12,5,2178,0
12,3,1910,0
12,3,48,1
12,2,32,0
12,3,32,1
12,2,2818,1
12,3,2743,1
12,3,42,1
12,2,42,1
12,3,43,1
12,3,32,0
12,3,34,0
12,2,40,0
12,3,32,0
12,2,40,0
13,2,30,0
13,3,42,0
13,2,42,0
13,4,42,0
13,5,30,0
13,3,29,0
13,4,30,0
13,2,29,0
13,3,30,0
13,2,30,0
13,5,29,1
13,5,41,0
13,5,29,0
13,5,29,0
13,5,29,0
13,2,28,0
13,3,30,0
13,3,47,0
13,4,47,1
13,4,41,1
13,5,33,1
13,4,33,1
13,5,41,1
13,5,34,1
13,6,41,1
13,6,3268,1
13,5,45,1
13,5,46,1
13,5,33,1
13,4,32,1
13,4,32,1
13,4,33,1
13,3,35,0
13,3,48,0
13,2,46,0
13,5,2826,0
13,3,47,0
13,4,2382,0
13,5,2213,0
13,2,43,0
13,3,2074,0
13,4,1962,0
13,2,1859,0
13,3,1872,0
13,5,1974,0
13,3,48,1
13,2,33,0
13,3,33,1
13,2,2479,1
13,3,2493,1
13,4,2500,1
13,4,44,1
13,3,41,1
13,2,41,1
13,3,48,1
13,3,34,0
13,3,32,0
13,2,39,0
13,3,33,0
13,2,39,0
14,2,33,0
14,3,56,0
14,2,48,0
14,4,43,0
14,5,39,0
14,3,28,0
14,4,30,0
14,2,30,0
14,3,30,0
14,2,29,0
14,5,29,0
14,5,29,0
14,5,29,0
14,5,28,0
14,5,28,1
14,2,41,0
14,3,29,0
14,3,45,0
14,4,45,1
14,4,40,1
14,5,45,1
14,4,31,1
14,5,39,1
14,5,31,1
14,6,39,1
14,6,2743,1
14,5,61,1
14,5,30,1
14,5,31,1
14,4,31,1
14,4,34,1
14,4,34,1
14,5,2325,0
14,3,44,0
14,3,46,0
14,2,46,0
14,3,34,0
14,4,1886,0
14,5,1877,0
14,2,43,0
14,3,1873,0
14,2,1764,0
14,4,1732,0
14,3,1736,0
14,3,44,1
14,5,2151,1
14,2,31,0
14,3,35,1
14,2,2001,1
14,3,1849,1
14,4,2684,1
14,4,41,1
14,3,41,1
14,2,41,1
14,3,33,1
14,3,32,0
14,3,34,0
14,2,42,0
14,3,30,0
14,2,39,0
15,2,30,0
15,3,42,0
15,2,43,0
15,4,42,0
15,5,29,0
15,3,28,0
15,4,28,0
15,2,28,0
15,3,28,0
15,2,27,0
15,5,28,0
15,5,28,1
15,5,38,0
15,5,28,0
15,5,28,0
15,2,29,0
15,3,28,0
15,3,48,0
15,4,47,1
15,4,38,0
15,5,46,1
15,4,32,1
15,5,39,1
15,6,39,1
15,5,30,1
15,6,35,1
15,6,31,1
15,6,2298,1
15,5,44,1
15,5,30,1
15,5,1934,0
15,5,44,1
15,4,33,1
15,4,30,0
15,4,44,1
