file-010705.dat file-018439.dat
file-000015.dat file-019636.dat
file-005342.dat file-014543.dat
file-008498.dat file-006572.dat
file-004630.dat file-020174.dat
file-002282.dat file-010404.dat
file-003089.dat file-000239.dat
file-001690.dat file-008200.dat
file-007806.dat file-007491.dat
file-011663.dat file-003140.dat
file-010971.dat file-015879.dat
file-018052.dat file-012179.dat
file-007162.dat file-006847.dat
file-007798.dat file-012495.dat
file-015127.dat file-010212.dat
file-013344.dat file-019398.dat
file-017607.dat file-008600.dat
file-005303.dat file-015700.dat
file-017341.dat file-004131.dat
file-007184.dat file-009953.dat
file-000951.dat file-000602.dat
file-007285.dat file-006068.dat
file-001819.dat file-018896.dat
file-016939.dat file-014238.dat
file-001270.dat file-018172.dat
file-000795.dat file-015688.dat
file-001843.dat file-017750.dat
file-015573.dat file-002432.dat
file-009403.dat file-019302.dat
file-001286.dat file-008470.dat
file-011442.dat file-007995.dat
file-001041.dat file-015584.dat
file-008188.dat file-005469.dat
file-017340.dat file-002446.dat
file-001577.dat file-008166.dat
file-016676.dat file-003714.dat
file-020241.dat file-016346.dat
file-015095.dat file-016977.dat
file-001178.dat file-016142.dat
file-002493.dat file-003096.dat
file-017793.dat file-001951.dat
file-015340.dat file-008491.dat
file-005171.dat file-003572.dat
file-015458.dat file-006119.dat
file-003350.dat file-011584.dat
file-018615.dat file-011932.dat
file-006327.dat file-016547.dat
file-016743.dat file-007759.dat
file-007393.dat file-014263.dat
file-009822.dat file-000446.dat
file-004304.dat file-007167.dat
file-015639.dat file-013574.dat
file-004325.dat file-007349.dat
file-003387.dat file-018179.dat
file-007201.dat file-000090.dat
file-002920.dat file-015366.dat
file-004691.dat file-004579.dat
file-001156.dat file-002375.dat
file-012641.dat file-020111.dat
file-016893.dat file-019740.dat
file-015973.dat file-007378.dat
file-017902.dat file-009308.dat
file-006534.dat file-019853.dat
file-012065.dat file-015496.dat
file-019571.dat file-010832.dat
file-011020.dat file-004704.dat
file-019546.dat file-006948.dat
file-015858.dat file-007397.dat
file-009805.dat file-010697.dat
file-017346.dat file-016913.dat
file-015356.dat file-018067.dat
file-016620.dat file-005059.dat
file-017873.dat file-003375.dat
file-017065.dat file-019700.dat
file-017963.dat file-014387.dat
file-000044.dat file-008313.dat
file-003038.dat file-017986.dat
file-006532.dat file-000327.dat
file-008652.dat file-000587.dat
file-013276.dat file-003307.dat
file-016562.dat file-012359.dat
file-016436.dat file-016837.dat
file-009194.dat file-018065.dat
file-006076.dat file-015139.dat
file-019151.dat file-009796.dat
file-004909.dat file-007223.dat
file-010261.dat file-009536.dat
file-017808.dat file-008707.dat
file-014396.dat file-010830.dat
file-019299.dat file-004159.dat
file-002763.dat file-008004.dat
file-012258.dat file-006194.dat
file-003491.dat file-005970.dat
file-017402.dat file-019547.dat
file-012869.dat file-019957.dat
file-001478.dat file-012881.dat
file-019680.dat file-010699.dat
file-003228.dat file-018397.dat
file-006790.dat file-009785.dat
file-017231.dat file-009271.dat
file-008746.dat file-007244.dat
file-001117.dat file-016500.dat
file-013952.dat file-006930.dat
file-014951.dat file-000246.dat
file-017455.dat file-009364.dat
file-006698.dat file-003104.dat
file-016171.dat file-018007.dat
file-019867.dat file-004586.dat
file-001462.dat file-000728.dat
file-010044.dat file-018947.dat
file-009707.dat file-019630.dat
file-004022.dat file-003475.dat
file-009679.dat file-018657.dat
file-004023.dat file-009266.dat
file-009088.dat file-001908.dat
file-007083.dat file-018636.dat
file-010620.dat file-017844.dat
file-008423.dat file-015174.dat
file-018239.dat file-001543.dat
file-007805.dat file-012514.dat
